,0
0,7703
1,4854
2,3307
3,8844
4,3479
5,8371
6,3635
7,4755
8,4090
9,3856
10,503
11,8344
12,5592
13,4751
14,2691
15,9248
16,2019
17,4113
18,2199
19,6319
20,8320
21,8446
22,6823
23,5002
24,6372
25,4164
26,4747
27,4376
28,381
29,21
30,6686
31,4827
32,7546
33,7538
34,5030
35,5028
36,935
37,4577
38,3788
39,9166
40,9389
41,3804
42,3651
43,411
44,5136
45,6807
46,1029
47,8650
48,8811
49,7550
50,5852
51,9659
52,8372
53,9801
54,7123
55,7060
56,560
57,7681
58,745
59,133
60,4008
61,6706
62,7449
63,3674
64,9130
65,8384
66,6364
67,3175
68,1331
69,4836
70,275
71,1281
72,3059
73,2878
74,5189
75,917
76,153
77,4077
78,1658
79,1593
80,5213
81,5346
82,5889
83,180
84,150
85,6295
86,8347
87,9768
88,1662
89,3002
90,7391
91,4612
92,3208
93,2422
94,9277
95,1560
96,8760
97,3806
98,2271
99,1633
100,5563
101,8736
102,8881
103,4415
104,7776
105,8967
106,2088
107,6529
108,2144
109,9634
110,6818
111,5792
112,7271
113,8390
114,4563
115,1049
116,1681
117,8779
118,1375
119,4431
120,6595
121,6935
122,5935
123,7931
124,1493
125,98
126,4065
127,519
128,700
129,6191
130,3555
131,4081
132,8086
133,5546
134,4202
135,2611
136,9960
137,6250
138,8530
139,6162
140,1052
141,6386
142,4986
143,6728
144,8359
145,5552
146,6227
147,3932
148,4058
149,3743
150,8512
151,3142
152,4537
153,814
154,6855
155,7505
156,5327
157,8155
158,1907
159,8817
160,424
161,39
162,9830
163,8865
164,8920
165,6993
166,7672
167,1761
168,1027
169,4602
170,2529
171,3294
172,4941
173,283
174,8136
175,1426
176,4993
177,2010
178,770
179,3693
180,5004
181,2573
182,5574
183,696
184,1870
185,7063
186,1636
187,7588
188,5332
189,6640
190,616
191,9465
192,6683
193,3510
194,9470
195,4096
196,1960
197,4352
198,2846
199,9030
200,2681
201,1591
202,9230
203,9542
204,1400
205,2704
206,9393
207,4111
208,2329
209,3941
210,8089
211,2352
212,7176
213,4712
214,4670
215,5930
216,5517
217,7254
218,6407
219,7715
220,7467
221,1123
222,617
223,941
224,488
225,4226
226,1224
227,3979
228,1909
229,1815
230,2860
231,5400
232,3740
233,3485
234,3936
235,136
236,7275
237,4900
238,1368
239,7777
240,9165
241,1247
242,4880
243,6207
244,3012
245,219
246,5022
247,7019
248,1139
249,711
250,6055
251,864
252,2983
253,9200
254,9530
255,8540
256,7825
257,2747
258,176
259,8463
260,574
261,4082
262,4306
263,7694
264,2378
265,8929
266,6545
267,6517
268,5697
269,2718
270,3322
271,2138
272,9268
273,6895
274,8403
275,6289
276,6375
277,1223
278,6453
279,3433
280,1350
281,8458
282,3138
283,567
284,8319
285,3103
286,6798
287,8268
288,2026
289,5191
290,5407
291,569
292,3299
293,1124
294,6040
295,5306
296,5955
297,1522
298,9291
299,3407
300,2803
301,4793
302,9811
303,6501
304,5848
305,4530
306,2506
307,2454
308,2638
309,9535
310,5053
311,5530
312,5668
313,1764
314,8782
315,5722
316,3633
317,2462
318,4476
319,4692
320,160
321,1946
322,2349
323,7094
324,3363
325,7049
326,8756
327,3426
328,6030
329,5149
330,7511
331,3925
332,3734
333,9478
334,732
335,7741
336,858
337,353
338,2554
339,5025
340,5186
341,591
342,6069
343,1270
344,817
345,7628
346,189
347,65
348,1181
349,3376
350,3097
351,2492
352,8572
353,7412
354,6420
355,6621
356,5846
357,9436
358,1873
359,3790
360,9294
361,4298
362,2439
363,2698
364,496
365,5741
366,3507
367,4159
368,7197
369,2795
370,8327
371,8745
372,9877
373,8337
374,6027
375,5800
376,1070
377,7397
378,7702
379,3079
380,3077
381,9078
382,3120
383,5896
384,7324
385,536
386,1334
387,9966
388,9606
389,9099
390,5676
391,6143
392,1249
393,8382
394,4398
395,8617
396,2262
397,7590
398,8559
399,3053
400,7631
401,8787
402,7388
403,6099
404,4332
405,3514
406,3503
407,2268
408,5790
409,4622
410,3117
411,9752
412,9392
413,5754
414,3922
415,6325
416,9608
417,8720
418,8872
419,6344
420,1285
421,5514
422,2371
423,4691
424,3042
425,9455
426,7177
427,4222
428,2291
429,2946
430,2000
431,8514
432,747
433,1417
434,8770
435,2149
436,1020
437,5510
438,8534
439,3187
440,6093
441,3344
442,1647
443,9520
444,1730
445,1469
446,2930
447,5239
448,1642
449,2398
450,7928
451,848
452,4772
453,693
454,2470
455,9531
456,1780
457,5470
458,4748
459,7337
460,2219
461,1526
462,7986
463,1538
464,5579
465,7942
466,7159
467,7148
468,5555
469,7805
470,9604
471,4808
472,9597
473,1509
474,6923
475,3289
476,3393
477,8148
478,2811
479,9878
480,4664
481,9735
482,5088
483,4735
484,7737
485,2118
486,4314
487,5556
488,8316
489,1975
490,7496
491,7406
492,5367
493,2359
494,7383
495,9557
496,6340
497,312
498,2069
499,8567
500,7424
501,3593
502,2531
503,3028
504,771
505,3119
506,3972
507,9778
508,2154
509,2053
510,9469
511,427
512,9773
513,6323
514,7816
515,5780
516,6472
517,3660
518,8459
519,4456
520,7947
521,9956
522,5732
523,6313
524,6938
525,5198
526,6422
527,199
528,5763
529,7620
530,6587
531,3505
532,8002
533,1198
534,334
535,4676
536,1696
537,8333
538,2933
539,9607
540,2734
541,5113
542,8843
543,1485
544,8556
545,0
546,5538
547,1527
548,4133
549,4112
550,5797
551,8383
552,5377
553,5137
554,1014
555,271
556,7740
557,9805
558,926
559,3205
560,9364
561,72
562,9921
563,5266
564,3719
565,9761
566,8708
567,5705
568,6664
569,6553
570,9972
571,8363
572,2543
573,1122
574,7557
575,6700
576,6371
577,6883
578,9378
579,3457
580,1594
581,2496
582,4835
583,2610
584,8528
585,5826
586,4294
587,8166
588,8388
589,1984
590,4803
591,6315
592,5884
593,1871
594,1999
595,5666
596,4455
597,5115
598,3819
599,6801
600,9905
601,4588
602,7533
603,6899
604,3200
605,4514
606,2096
607,2727
608,1028
609,4919
610,7992
611,4052
612,9853
613,8434
614,1533
615,2207
616,8616
617,4018
618,4488
619,5106
620,4489
621,2812
622,7769
623,8373
624,4295
625,9843
626,2589
627,270
628,5872
629,4458
630,337
631,1099
632,7133
633,1546
634,3209
635,3983
636,7935
637,5329
638,4685
639,9650
640,7835
641,1627
642,3049
643,9466
644,3254
645,2101
646,9685
647,2054
648,605
649,1705
650,9850
651,7953
652,667
653,2912
654,3933
655,9059
656,304
657,9445
658,1100
659,557
660,4338
661,1697
662,7958
663,1596
664,5959
665,4694
666,7036
667,611
668,2895
669,5951
670,7794
671,5498
672,4774
673,3375
674,317
675,3698
676,2247
677,6464
678,465
679,8972
680,1037
681,5366
682,8139
683,1686
684,5986
685,934
686,6267
687,6196
688,8742
689,4100
690,1799
691,9489
692,1179
693,6610
694,2049
695,8527
696,5518
697,9839
698,183
699,9126
700,8853
701,3494
702,3463
703,5502
704,3940
705,642
706,1614
707,6013
708,8011
709,7255
710,7747
711,785
712,9827
713,376
714,398
715,6752
716,2383
717,8109
718,735
719,5740
720,7027
721,9635
722,640
723,9745
724,1156
725,8156
726,9855
727,9632
728,6474
729,2522
730,8147
731,7398
732,9322
733,7444
734,3739
735,5632
736,6214
737,5386
738,3905
739,6147
740,1311
741,9041
742,8916
743,6232
744,111
745,2048
746,474
747,2394
748,4850
749,5815
750,7214
751,9979
752,4439
753,8615
754,579
755,3816
756,4700
757,4508
758,5226
759,5081
760,812
761,8733
762,8993
763,9461
764,8116
765,58
766,4235
767,2834
768,7993
769,846
770,2286
771,2499
772,208
773,3866
774,6221
775,6981
776,7460
777,5908
778,6924
779,3998
780,7418
781,7318
782,6965
783,2940
784,6806
785,4916
786,1009
787,5543
788,2180
789,4931
790,145
791,8486
792,3260
793,8938
794,1259
795,9667
796,6634
797,2150
798,8394
799,6020
800,6822
801,5341
802,4070
803,9876
804,8949
805,3841
806,1818
807,2815
808,5467
809,1824
810,3575
811,3539
812,9546
813,6531
814,4432
815,8428
816,3557
817,8693
818,6694
819,8723
820,5018
821,8964
822,8312
823,9926
824,4330
825,7605
826,124
827,8494
828,7343
829,2178
830,5108
831,4088
832,6425
833,6805
834,8117
835,7445
836,4687
837,3185
838,1176
839,3180
840,7329
841,5719
842,3456
843,69
844,1428
845,1582
846,7725
847,1664
848,6358
849,1293
850,1205
851,546
852,7264
853,8304
854,4939
855,8914
856,9718
857,869
858,7536
859,4901
860,8879
861,1348
862,6354
863,904
864,2206
865,96
866,8623
867,4108
868,4989
869,2857
870,8631
871,442
872,5240
873,8010
874,4945
875,5124
876,1753
877,761
878,8751
879,9329
880,9066
881,3736
882,6218
883,5535
884,4706
885,3204
886,2949
887,7273
888,4010
889,4630
890,6272
891,4022
892,7881
893,4035
894,2256
895,7210
896,8571
897,142
898,8485
899,6131
900,5786
901,2065
902,9301
903,3064
904,945
905,6957
906,5280
907,3924
908,401
909,1278
910,3684
911,7804
912,896
913,5249
914,471
915,4322
916,2270
917,4643
918,5801
919,4049
920,9156
921,4565
922,3075
923,452
924,6597
925,97
926,6627
927,8545
928,6635
929,8716
930,7147
931,4760
932,8046
933,8078
934,5320
935,1750
936,7349
937,5903
938,1477
939,6019
940,9875
941,5055
942,7888
943,6492
944,3666
945,2586
946,803
947,9941
948,3402
949,6213
950,9491
951,6229
952,6603
953,4756
954,3746
955,2403
956,1968
957,1258
958,722
959,8332
960,2082
961,1317
962,7097
963,168
964,4806
965,2972
966,4015
967,7238
968,5539
969,8473
970,5472
971,568
972,6852
973,8208
974,4380
975,4258
976,3141
977,9555
978,1389
979,7184
980,115
981,4545
982,3769
983,8301
984,8554
985,1670
986,4621
987,3135
988,7175
989,8294
990,3327
991,6373
992,5390
993,5781
994,144
995,9699
996,1383
997,3655
998,6007
999,8284
1000,1826
1001,1112
1002,2703
1003,2195
1004,5415
1005,8603
1006,1688
1007,6300
1008,2497
1009,4935
1010,829
1011,4509
1012,1804
1013,5404
1014,3951
1015,7333
1016,9883
1017,9449
1018,9019
1019,5303
1020,8645
1021,4238
1022,7842
1023,9645
1024,1660
1025,6136
1026,3475
1027,2145
1028,1329
1029,7400
1030,3615
1031,32
1032,821
1033,3529
1034,8200
1035,1850
1036,675
1037,3939
1038,6477
1039,7299
1040,2381
1041,9363
1042,8804
1043,341
1044,1665
1045,9987
1046,7870
1047,2007
1048,7880
1049,5120
1050,8270
1051,1291
1052,2755
1053,7326
1054,3580
1055,2326
1056,4259
1057,6556
1058,3653
1059,256
